method,checkpoint,requested_r,effective_r,runtime_seconds,trainable_parameters,laps_psnr,laps_ssim,laps_gain,reference_gain,aligned_mae,aligned_rmse,aligned_nrmse,data_error_raw,data_error_supported,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta
Ours tuned (fixed stop),final,3,2.9767441860465116,34.98326649796218,79298,30.918872833251953,0.8682705760002136,1.2026496998447633,0.841534658513497,0.012354471900706368,0.01990623951862995,0.09688894209069385,0.1419619768857956,0.1419619768857956,0.9549019349641515,0.9058163721958384,1.200013934942738,1.3338274603300933,0.13381352538735536
Ours diagnostic (best_objective),best_objective,3,2.9767441860465116,34.98326649796218,79298,30.932680130004883,0.8699300289154053,1.202774112236501,0.84162171407058,0.012317922854269416,0.019874618122544596,0.0967350323775472,0.14194010198116302,0.14194010198116302,0.9549926609418613,0.906008197087806,1.200013934942738,1.3325923434187867,0.13257840847604885
Ours diagnostic (best_psnr),best_psnr,3,2.9767441860465116,34.98326649796218,79298,30.932680130004883,0.8699300289154053,1.202774112236501,0.84162171407058,0.012317922854269416,0.019874618122544596,0.0967350323775472,0.14194010198116302,0.14194010198116302,0.9549926609418613,0.906008197087806,1.200013934942738,1.3325923434187867,0.13257840847604885
Ours tuned (fixed stop),final,5,4.923076923076923,35.157890463015065,79298,29.17672348022461,0.8451697826385498,1.1961141802003028,0.836961534441775,0.014707423936542953,0.024327447256115714,0.11840813159141719,0.11084522306919098,0.11084522306919098,0.9301586192616218,0.8683732539728561,1.200013934942738,1.3127015260996704,0.1126875911569325
Ours diagnostic (best_objective),best_objective,5,4.923076923076923,35.157890463015065,79298,29.162811279296875,0.843169629573822,1.1963438965619222,0.837122274747082,0.014753967999961351,0.024366448306494627,0.11859796003732241,0.11087341606616974,0.11087341606616974,0.9300087879556302,0.8678675060138475,1.200013934942738,1.3136292674192143,0.11361533247647637
Ours diagnostic (best_psnr),best_psnr,5,4.923076923076923,35.157890463015065,79298,29.162811279296875,0.843169629573822,1.1963438965619222,0.837122274747082,0.014753967999961351,0.024366448306494627,0.11859796003732241,0.11087341606616974,0.11087341606616974,0.9300087879556302,0.8678675060138475,1.200013934942738,1.3136292674192143,0.11361533247647637
Ours tuned (fixed stop),final,6,5.818181818181818,34.224822747986764,79298,28.08791160583496,0.8198771476745605,1.1931682334098377,0.8349001558652592,0.016403759545049516,0.02757637648935186,0.13422153100526313,0.10255634784698486,0.10255634784698486,0.9088815153889226,0.8383146855238098,1.200013934942738,1.31370183927083,0.11368790432809206
Ours diagnostic (best_objective),best_objective,6,5.818181818181818,34.224822747986764,79298,28.084569931030273,0.8206800222396851,1.1933431063284998,0.8350225203591831,0.016402432792239487,0.027586986042387414,0.13427317051099236,0.1025758907198906,0.1025758907198906,0.9087734324924424,0.8373728996597087,1.200013934942738,1.3166011002335398,0.11658716529080193
Ours diagnostic (best_psnr),best_psnr,6,5.818181818181818,34.224822747986764,79298,28.089048385620117,0.8205791711807251,1.1939897588627009,0.8354750050017324,0.01634401473130585,0.027572763134350177,0.13420394384907605,0.10310745239257812,0.10310745239257812,0.9087420805975136,0.8335028794726417,1.200013934942738,1.3207545796790394,0.12074064473630153
Ours tuned (fixed stop),final,7,6.7368421052631575,35.38260504999198,79298,27.93027687072754,0.8157781362533569,1.191962923516995,0.8340567597797599,0.01657709284040017,0.028081412030232296,0.13667967279685123,0.09627632796764374,0.09627632796764374,0.9051021040479028,0.8326439995137528,1.200013934942738,1.3172052903433784,0.11719135540064052
Ours diagnostic (best_objective),best_objective,7,6.7368421052631575,35.38260504999198,79298,27.92500877380371,0.8154431581497192,1.1929972030058793,0.834780480108795,0.01660191554290881,0.028098448677267907,0.13676259467200036,0.09634698927402496,0.09634698927402496,0.9050188278780267,0.83313303912624,1.200013934942738,1.3165041757102067,0.11649024076746883
Ours diagnostic (best_psnr),best_psnr,7,6.7368421052631575,35.38260504999198,79298,27.935476303100586,0.8166685104370117,1.1927351225763447,0.8345970935708862,0.01651947979418928,0.02806460534055613,0.13659787018509995,0.096803680062294,0.096803680062294,0.905160170302021,0.8300200270496172,1.200013934942738,1.322438771337653,0.12242483639491519
Ours tuned (fixed stop),final,9,8.533333333333333,34.87287616007961,79298,26.879718780517578,0.8003619909286499,1.1933860616271057,0.835052577634006,0.01816120502799149,0.0316917968182662,0.1542523721670944,0.08641838282346725,0.08641838282346725,0.8762948241119667,0.780977913756931,1.200013934942738,1.3637779716685778,0.16376403672583995
Ours diagnostic (best_objective),best_objective,9,8.533333333333333,34.87287616007961,79298,26.882198333740234,0.799484372138977,1.1936715760289554,0.8352523617146842,0.0181607724815719,0.0316827531306454,0.15420835414323017,0.08644136786460876,0.08644136786460876,0.8764161918860677,0.7817912612052297,1.200013934942738,1.3601493983315274,0.16013546338878948
Ours diagnostic (best_psnr),best_psnr,9,8.533333333333333,34.87287616007961,79298,26.882198333740234,0.799484372138977,1.1936715760289554,0.8352523617146842,0.0181607724815719,0.0316827531306454,0.15420835414323017,0.08644136786460876,0.08644136786460876,0.8764161918860677,0.7817912612052297,1.200013934942738,1.3601493983315274,0.16013546338878948
Ours tuned (fixed stop),final,11,10.666666666666666,35.18591783987358,79298,25.123994827270508,0.7633101344108582,1.1901106304529867,0.8327606476938479,0.02126646164955754,0.038791186526794724,0.18880698293148002,0.07798845320940018,0.07798845320940018,0.8084370215090966,0.6938792976073817,1.200013934942738,1.3447561527480039,0.14474221780526597
Ours diagnostic (best_objective),best_objective,11,10.666666666666666,35.18591783987358,79298,25.126941680908203,0.7652740478515625,1.18986732442232,0.8325903982376197,0.021224896380929472,0.038778031287710256,0.18874295289724616,0.07796166837215424,0.07796166837215424,0.8084912194837721,0.693855117278292,1.200013934942738,1.342617995946965,0.14260406100422718
Ours diagnostic (best_psnr),best_psnr,11,10.666666666666666,35.18591783987358,79298,25.126941680908203,0.7652740478515625,1.18986732442232,0.8325903982376197,0.021224896380929472,0.038778031287710256,0.18874295289724616,0.07796166837215424,0.07796166837215424,0.8084912194837721,0.693855117278292,1.200013934942738,1.342617995946965,0.14260406100422718
Ours tuned (fixed stop),final,13,12.8,34.8692822388839,79298,23.773143768310547,0.7565953731536865,1.1867691777969902,0.8304225202905264,0.023342206745509773,0.045318506915347355,0.22057718074016222,0.07284630089998245,0.07284630089998245,0.7277673390121925,0.5674272292847046,1.200013934942738,1.4007499013196427,0.20073596637690483
Ours diagnostic (best_objective),best_objective,13,12.8,34.8692822388839,79298,23.77015495300293,0.7554566860198975,1.1873932792062667,0.8308592251484758,0.023360467192991827,0.04533410417248347,0.2206530967232901,0.07286040484905243,0.07286040484905243,0.7276052988008157,0.5671954266920134,1.200013934942738,1.3995766561252436,0.19956272118250573
Ours diagnostic (best_psnr),best_psnr,13,12.8,34.8692822388839,79298,23.877227783203125,0.7694648504257202,1.1942808953402813,0.8356787230388908,0.0225025820891116,0.04477869375380131,0.2179497670541227,0.0761289894580841,0.0761289894580841,0.7323179431865824,0.5445526607191848,1.200013934942738,1.4364669407084478,0.23645300576570993
